Order_ID,Order_Date,Region,Category,Sub_Category,Customer_Name,Orders,Quantity,Revenue,Profit
ORD10026,26-06-2022,West,Technology,Phones,Sneha,5,18,3727.86,789.31
ORD10027,20-06-2023, west ,Furniture,Tables,Ankit,1,2,4976.83,1408.5
ORD10028,11-04-2024,EAST,Office Supplies,Paper,Priya,2,2,3458.34,857.89
ORD10029,07-12-2023,West,Technology,Phones,Kiran,3,11,1414.29,269.9
ORD10030,14-11-2022, west ,Furniture,Tables,Priya,3,11,2455.74,811.31
ORD10031,26-08-2023,Central,Furniture,Storage,Ravi,2,18,1541,293.53
ORD10032,26-12-2023,Central,Furniture,Chairs,Kiran,1,9,$2799.99,28.23
ORD10033,16-04-2022,South,Office Supplies,Binders,david,3,3,3582.5,-347.98
ORD10034,09-01-2024,Central,Technology,Copiers,priya,1,5,2311.41,625.34
ORD10035,09-03-2024,East,Office Supplies,Art,Priya,3,20,862.36,144.77
ORD10036,26-11-2023, west ,Technology,Phones,Neha,1,16,$4944.76,488.57
ORD10037,13-07-2023,West,Furniture,Storage,Sara,2,15,4796.15,740.9
ORD10038,22-03-2024,EAST,Furniture,Chairs,Neha,4,2,$617.68,18.19
ORD10039,17-10-2023,,Furniture,Chairs,Ankit,3,10,4349.14,813.28
ORD10040,04-04-2023,South,Office Supplies,Paper,David,4,4,618.74,146.89
ORD10041,14-06-2024,EAST,Furniture,Storage,Kiran,3,20,949.43,200.45
ORD10042,31-10-2022,South,Technology,Accessories,Amit,1,9,4075.36,1252.62
ORD10043,14-05-2024,EAST,Office Supplies,Art,Sneha,4,14,2170.27,463.55
ORD10044,03-06-2024,East,Furniture,Chairs,Kiran,3,13,2206.89,333.41
ORD10045,26-02-2022, west ,Furniture,Chairs,Sneha,1,1,547.78,-0.75
ORD10046,15-09-2022, west ,Office Supplies,Art,Amit,5,17,4432.32,602.14
ORD10047,12-06-2023,West,Technology,Copiers,David,3,8,565.55,86.3
ORD10048,08-01-2022,West,Technology,Accessories,Sara,1,5,4842.06,
ORD10049,10-12-2023,South,Technology,Accessories,Sneha,5,18,1369.97,
ORD10050,07-02-2024,East,Office Supplies,Binders,Ankit,2,19,4656.3,1429.38
ORD10051,08-03-2022,West,Furniture,Chairs,Ravi,5,5,4710.07,1122.06
ORD10052,12-02-2024, west ,Office Supplies,Binders,Ravi,2,9,1835.93,42.62
ORD10053,01-01-2022, west ,Technology,Copiers,John,2,12,$1000.05,157.63
ORD10054,09-05-2023,West,Technology,Phones,David,5,5,1032.25,-84.71
ORD10055,07-12-2023,East,Office Supplies,Art,Priya,5,9,4111.37,948.86
ORD10056,07-10-2022,EAST,Office Supplies,Art,John,4,12,339.43,114.4
ORD10057,05-02-2023,West,Furniture,Storage,Neha,5,16,3219.82,884.6
ORD10058,02-02-2022, west ,Technology,Accessories,Neha,1,15,2874.18,614.65
ORD10059,18-06-2022,West,Furniture,Tables,Neha,5,15,$4985.16,-175.66
ORD10060,27-02-2024,South,Furniture,Storage,Ankit,2,20,3466.77,1198.2
ORD10061,13-02-2024,EAST,Office Supplies,Binders,John,3,10,4711.21,915.82
ORD10062,18-12-2023, west ,Technology,Copiers,Priya,5,11,$988.63,224.23
ORD10063,23-08-2023,South,Technology,Accessories,David,2,11,4997.32,364.36
ORD10064,30-05-2022,East,Furniture,Storage,Kiran,4,5,$1906.27,616.01
ORD10065,29-06-2023, west ,Technology,Accessories,David,3,3,943.09,-24.41
ORD10066,23-04-2022,South,Furniture,Storage,Kiran,3,13,$304.96,-16.39
ORD10067,26-04-2022,Central,Office Supplies,Paper,Priya,2,8,2621.12,-37.2
ORD10068,09-05-2022,EAST,Furniture,Storage,Ravi,4,12,$135.63,1.84
ORD10069,16-01-2023,West,Office Supplies,Paper,Neha,4,8,2606.63,-115.9
ORD10070,07-03-2022,Central,Furniture,Chairs,Amit,4,1,628.22,5.66
ORD10071,29-03-2024,West,Office Supplies,Art,Ravi,2,6,347.45,33.22
ORD10072,14-02-2022,Central,Office Supplies,Art,John,3,14,2546.11,536.66
ORD10073,03-05-2022, west ,Furniture,Storage,Sneha,1,19,1950.28,-39.43
ORD10074,19-10-2022,West,Furniture,Chairs,Amit,1,13,1166.52,-82.05
ORD10075,31-01-2024,West,Office Supplies,Paper,John,4,17,1167.87,407.27
ORD10076,12-10-2022,West,Office Supplies,Paper,priya,5,7,2801.48,292.41
ORD10077,31-03-2023,West,Technology,Copiers,amit,1,5,3418.68,215.66
ORD10078,10-04-2024,West,Office Supplies,Binders,Sara,1,14,$331.64,48.3
ORD10079,06-04-2022,Central,Furniture,Storage,Kiran,4,12,378.48,101.26
ORD10080,10-09-2023,Central,Office Supplies,Art,John,3,17,845.39,53.99
ORD10081,17-07-2023, west ,Office Supplies,Binders,Ravi,3,20,4321.97,-94.32
ORD10082,31-08-2023,EAST,Office Supplies,Paper,John,4,9,1825.54,558.52
ORD10083,18-04-2024,,Furniture,Storage,Kiran,5,11,2677.42,-4.29
ORD10084,08-08-2023,EAST,Furniture,Storage,priya,1,16,1523.6,-40.99
ORD10085,25-04-2023,South,Technology,Copiers,Ankit,2,8,3428.73,-38.71
ORD10086,18-05-2023, west ,Technology,Accessories,Sneha,2,6,4103.97,-135.45
ORD10087,09-11-2023,EAST,Furniture,Tables,John,3,3,4859.91,1286.9
ORD10088,29-09-2023,West,Technology,Copiers,Ravi,2,14,4288.13,681.99
ORD10089,17-04-2022,Central,Furniture,Tables,John,3,7,2262.54,672.84
ORD10090,24-10-2023,Central,Technology,Accessories,Priya,1,16,1472.53,-54.74
ORD10091,08-07-2023,West,Furniture,Tables,Sneha,4,2,4675.37,-457.56
ORD10092,13-04-2023,Central,Furniture,Chairs,Kiran,4,20,$2984.55,-112.93
ORD10093,08-11-2022,Central,Furniture,Tables,Sara,4,3,343.17,104.25
ORD10094,14-02-2022,Central,Furniture,Chairs,Ankit,5,17,1311.05,-67.39
ORD10095,03-02-2024,South,Technology,Accessories,Ankit,5,11,3819.05,860.69
ORD10096,25-08-2023,EAST,Furniture,Tables,amit,1,4,210.97,11.61
ORD10097,27-05-2022,East,Technology,Phones,Ankit,4,9,2179.31,-171.75
ORD10098,31-08-2023,Central,Office Supplies,Paper,Kiran,1,14,4769.36,-428.69
ORD10099,23-07-2023,Central,Furniture,Tables,Sara,5,10,$4914.9,380.95
ORD10100,22-08-2022,EAST,Office Supplies,Paper,David,1,20,$1541.16,126.66
ORD10101,29-05-2023,EAST,Technology,Phones,David,2,17,1082.98,287.89
ORD10102,13-03-2024,South,Technology,Phones,Sara,4,9,3954.05,-156.82
ORD10103,16-12-2023,,Furniture,Chairs,neha,3,16,3800.27,834.59
ORD10104,15-11-2022,South,Office Supplies,Art,Amit,3,2,3575.33,1154
ORD10105,26-12-2022,East,Office Supplies,Binders,Sara,4,16,3070.01,882.03
ORD10106,27-02-2022,West,Furniture,Tables,sara,4,14,2870.65,3.2
ORD10107,20-11-2022,,Office Supplies,Binders,john,4,2,1845.71,449.52
ORD10108,15-01-2023, west ,Furniture,Chairs,Kiran,3,6,1483.41,165.26
ORD10109,02-01-2022,Central,Technology,Accessories,John,2,19,3821.74,-199.23
ORD10110,03-10-2023,East,Technology,Phones,Sneha,4,9,1095.53,
ORD10111,22-07-2023,East,Technology,Accessories,John,5,1,1135.85,
ORD10112,12-01-2022,West,Office Supplies,Art,Ankit,4,19,1816.47,516.8
ORD10113,14-04-2024,Central,Furniture,Storage,sara,4,3,1519.06,306.75
ORD10114,09-12-2022,EAST,Technology,Phones,Amit,4,8,1220.58,326.22
ORD10115,27-12-2022,South,Office Supplies,Art,Ravi,5,1,286.3,57.6
ORD10116,16-04-2022,West,Furniture,Chairs,David,3,8,4880.68,1363.96
ORD10117,27-11-2023,EAST,Technology,Copiers,Sara,2,9,4227.58,528.97
ORD10118,08-09-2023,South,Furniture,Storage,Priya,3,13,4134.71,-46.76
ORD10119,05-10-2022,West,Technology,Copiers,Ravi,3,16,4287.56,815.52
ORD10120,11-12-2023,EAST,Office Supplies,Paper,Sneha,3,17,4867.29,1252.67
ORD10121,06-05-2024,Central,Furniture,Tables,ankit,5,7,4044.06,798.84
ORD10122,17-09-2022,South,Furniture,Tables,Ravi,1,13,797.24,172.36
ORD10123,28-10-2022,EAST,Furniture,Chairs,sneha,4,7,4671.06,1601.46
ORD10124,18-01-2022, west ,Furniture,Chairs,Sneha,5,20,3462.41,1151.72
ORD10125,01-11-2023,EAST,Furniture,Storage,John,3,3,2303.6,788.72
ORD10126,17-09-2022,South,Furniture,Chairs,Ankit,3,16,2487.19,26.2
ORD10127,24-01-2024, west ,Furniture,Storage,Kiran,2,7,3283.28,754.36
ORD10128,31-03-2023,EAST,Furniture,Chairs,Ravi,4,4,2587.42,44.32
ORD10129,14-04-2023,East,Office Supplies,Paper,Sneha,5,7,$510.24,
ORD10130,01-06-2023,Central,Technology,Phones,Sara,3,15,4859.12,387.32
ORD10131,10-04-2022,EAST,Technology,Phones,David,2,9,$259.2,39.01
ORD10132,14-03-2022,East,Technology,Accessories,priya,4,13,3374.34,108.08
ORD10133,17-07-2022, west ,Technology,Copiers,Priya,5,1,3458.45,563.24
ORD10134,13-04-2024,West,Office Supplies,Paper,Ankit,5,2,$2871.2,317.72
ORD10135,25-12-2023, west ,Technology,Phones,Sneha,5,18,529.55,159.3
ORD10136,16-05-2024,South,Furniture,Chairs,David,5,2,439.45,11.17
ORD10137,24-08-2023,South,Technology,Phones,Kiran,1,10,4856.9,1129.2
ORD10138,25-10-2023, west ,Furniture,Chairs,Ankit,1,6,$2303.96,213.65
ORD10139,28-04-2023,EAST,Furniture,Storage,David,2,5,1026.88,-52.59
ORD10140,26-09-2023, west ,Furniture,Tables,Neha,4,8,1172.26,7.05
ORD10141,27-07-2023,West,Furniture,Tables,Neha,3,3,188.22,14.22
ORD10142,05-10-2023,Central,Furniture,Chairs,John,3,6,3527.18,
ORD10143,05-01-2022,EAST,Office Supplies,Paper,Priya,3,3,2292.89,16.69
ORD10144,31-03-2023, west ,Office Supplies,Art,Priya,5,19,3247.85,-9.86
ORD10145,10-01-2024,Central,Office Supplies,Art,Priya,3,17,244.51,36.77
ORD10146,06-08-2023,South,Office Supplies,Art,Sara,2,17,3048.34,794.37
ORD10147,07-12-2023,East,Office Supplies,Paper,Sara,2,4,1039.84,346.23
ORD10148,05-07-2023,EAST,Office Supplies,Binders,Priya,1,10,2215.04,251.88
ORD10149,06-06-2022,West,Office Supplies,Binders,kiran,1,17,415.14,13.89
ORD10150,19-03-2024,West,Office Supplies,Binders,Sneha,2,9,3859.49,-333.71
ORD10151,28-06-2022, west ,Office Supplies,Binders,Neha,1,7,3091.04,154.51
ORD10152,26-02-2022,Central,Furniture,Storage,Kiran,2,5,1718.03,268.07
ORD10153,26-10-2022,East,Furniture,Storage,ravi,1,15,3330.78,342.29
ORD10154,08-08-2022,South,Technology,Phones,Ankit,2,14,160.77,-9.98
ORD10155,19-11-2022,South,Technology,Phones,Sara,2,18,2649.55,
ORD10156,08-11-2023,EAST,Technology,Copiers,Priya,3,19,4933.32,-278.13
ORD10157,05-01-2022,Central,Technology,Phones,Priya,4,15,4962.78,262.61
ORD10158,28-10-2022,East,Technology,Copiers,Kiran,2,15,207.87,55.54
ORD10159,27-04-2024,South,Technology,Accessories,Ankit,3,17,4020.47,835.33
ORD10160,17-01-2023,East,Technology,Copiers,Ankit,5,3,2610.46,84.04
ORD10161,20-01-2022,EAST,Office Supplies,Paper,Kiran,1,14,$1967.83,16.28
ORD10162,20-09-2023,South,Furniture,Tables,David,2,9,4835.73,859.33
ORD10163,25-01-2024,Central,Technology,Copiers,Sara,5,4,4832.87,587.93
ORD10164,30-06-2022,West,Furniture,Storage,Ravi,4,19,246.02,-19.69
ORD10165,26-11-2022,EAST,Technology,Accessories,Amit,2,9,1799.98,592.79
ORD10166,31-05-2023, west ,Furniture,Storage,Ankit,2,12,2521.01,12.43
ORD10167,07-12-2023,EAST,Technology,Accessories,John,1,7,235.88,41.7
ORD10168,12-09-2022,South,Office Supplies,Paper,David,5,20,4734.95,-356.89
ORD10169,21-06-2022,EAST,Office Supplies,Paper,Amit,5,20,1607.23,-117.78
ORD10170,19-07-2023,Central,Office Supplies,Paper,Priya,1,1,4419.48,622.37
ORD10171,26-11-2023,East,Furniture,Tables,Sara,3,10,4376.77,1308.5
ORD10172,21-03-2023,East,Office Supplies,Binders,Ravi,3,18,2985.36,328.77
ORD10173,17-06-2024, west ,Furniture,Chairs,David,4,5,2966.07,-142.49
ORD10174,19-09-2022,South,Office Supplies,Paper,David,1,16,$4625.46,-167.94
ORD10175,11-09-2022,West,Furniture,Tables,Amit,3,16,469.87,107.37
ORD10176,14-02-2024,Central,Technology,Phones,Kiran,5,10,2461.77,551.17
ORD10177,05-03-2024,South,Office Supplies,Art,Kiran,4,12,3521.2,425.77
ORD10178,02-02-2024,East,Furniture,Chairs,Kiran,5,8,3205.63,54.65
ORD10179,04-09-2022,South,Furniture,Tables,Sneha,5,15,1405.47,394.67
ORD10180,08-04-2024,South,Technology,Phones,David,4,6,3876.72,1050.63
ORD10181,30-12-2023,West,Office Supplies,Paper,kiran,4,20,3283.52,1062.81
ORD10182,30-09-2022, west ,Furniture,Storage,David,2,7,3833.2,-52.49
ORD10183,26-05-2023, west ,Technology,Phones,Neha,2,3,4103.51,-106.78
ORD10184,07-07-2022, west ,Furniture,Chairs,Sneha,2,10,4778.45,902.67
ORD10185,04-01-2023,South,Furniture,Tables,david,1,12,2062.07,477.8
ORD10186,08-01-2024,East,Technology,Copiers,Amit,2,16,3020.3,928.02
ORD10187,26-11-2022,Central,Technology,Copiers,Ravi,3,19,2690.59,-172.84
ORD10188,26-11-2023,West,Office Supplies,Paper,Ravi,1,4,189.87,32.36
ORD10189,27-02-2022,East,Technology,Phones,Priya,3,17,2257.54,698.08
ORD10190,04-06-2022,South,Furniture,Tables,Sneha,1,10,2428.25,594.87
ORD10191,08-11-2022,East,Office Supplies,Paper,Sneha,2,7,2355.75,-58.67
ORD10192,05-05-2023, west ,Technology,Accessories,Neha,1,11,1152.49,288.56
ORD10193,25-05-2022,Central,Technology,Phones,Neha,4,8,$1089.97,
ORD10194,17-01-2024,East,Office Supplies,Paper,David,5,18,1223.83,427.65
ORD10195,23-11-2023,East,Office Supplies,Paper,Sara,5,2,3673.67,687.5
ORD10196,08-07-2023, west ,Technology,Accessories,Kiran,4,20,1933.64,311.64
ORD10197,17-12-2022,East,Office Supplies,Art,Neha,4,3,1411.84,-74.38
ORD10198,11-04-2024,West,Technology,Phones,Kiran,5,20,2367.87,348.01
ORD10199,15-05-2024,West,Furniture,Storage,Priya,1,13,$3493.91,3.47
ORD10200,20-06-2022,Central,Office Supplies,Paper,Amit,1,20,3600.01,-121.18
ORD10201,26-10-2023,West,Technology,Accessories,Priya,3,8,3467.32,
ORD10202,10-12-2022,West,Office Supplies,Binders,Ankit,3,3,556.35,143.81
ORD10203,27-08-2022,EAST,Furniture,Storage,Sara,3,19,4038.41,1169.62
ORD10204,09-05-2022,South,Office Supplies,Paper,Kiran,2,19,755.81,91.57
ORD10205,21-01-2022,South,Office Supplies,Paper,Neha,2,13,2819.33,532.8
ORD10206,16-06-2024,EAST,Office Supplies,Paper,Sara,4,8,4141.08,1054.98
ORD10207,18-06-2023,South,Technology,Copiers,Amit,3,8,2068.51,172.29
ORD10208,12-04-2022,EAST,Office Supplies,Paper,Neha,4,3,4670.56,-252.98
ORD10209,02-02-2022,Central,Office Supplies,Paper,Amit,3,8,156.83,19.59
ORD10210,15-06-2024,West,Technology,Accessories,Amit,2,3,4210.41,657.12
ORD10211,30-10-2023, west ,Technology,Phones,Ankit,3,8,862.56,169.24
ORD10212,10-04-2023,EAST,Office Supplies,Paper,John,1,15,3007.2,258.74
ORD10213,17-11-2022,South,Office Supplies,Binders,Priya,3,20,1382.49,194.14
ORD10214,20-03-2023,East,Office Supplies,Paper,Priya,2,8,$4090.53,320.46
ORD10215,28-09-2022,EAST,Furniture,Storage,Kiran,5,14,1978.99,691.87
ORD10216,12-02-2022,West,Furniture,Storage,Ankit,2,18,2537.4,-8.43
ORD10217,31-12-2023,EAST,Office Supplies,Paper,Neha,3,19,$4099.13,-332.06
ORD10218,15-01-2023, west ,Furniture,Chairs,Sneha,2,8,4316.53,-409.6
ORD10219,06-06-2023, west ,Office Supplies,Art,Priya,1,17,3889.33,1272.3
ORD10220,21-09-2023,Central,Furniture,Chairs,Ravi,4,16,2971.28,580.17
ORD10221,01-10-2022, west ,Office Supplies,Art,Kiran,3,5,2608.29,832.61
ORD10222,06-02-2023,East,Office Supplies,Paper,Priya,4,20,4912.2,1313.58
ORD10223,06-06-2022,,Office Supplies,Art,Priya,3,9,3588.52,-81.03
ORD10224,28-04-2023,South,Technology,Accessories,David,4,15,3970.98,-57.11
ORD10225,23-05-2023,Central,Furniture,Storage,Sara,5,1,1337.13,-114.9
ORD10226,18-04-2022,Central,Furniture,Tables,Sneha,1,16,2848.86,-10.76
ORD10227,22-03-2024,East,Office Supplies,Binders,Amit,5,2,4109.97,1135.49
ORD10228,13-05-2024,EAST,Furniture,Storage,John,5,6,560.32,-6.27
ORD10229,14-03-2022,West,Office Supplies,Art,John,5,2,2963.92,982.61
ORD10230,16-11-2023,West,Furniture,Tables,Neha,3,20,4001.41,542.27
ORD10231,23-07-2023,Central,Office Supplies,Binders,Sara,2,8,2173.33,69.66
ORD10232,30-03-2023,West,Furniture,Chairs,Ravi,2,9,2488.98,242.57
ORD10233,23-01-2024, west ,Office Supplies,Paper,David,4,5,1043.25,-91.94
ORD10234,27-03-2024,West,Technology,Phones,Neha,1,17,3133.71,391.39
ORD10235,15-07-2022,Central,Technology,Phones,Neha,3,14,3213.98,622.23
ORD10236,15-07-2022,Central,Technology,Phones,Sneha,1,19,4577.13,-256.77
ORD10237,26-02-2022,Central,Technology,Accessories,Sara,1,17,199.76,11.97
ORD10238,17-01-2023,Central,Technology,Phones,Kiran,5,8,3681.42,-226.45
ORD10239,27-04-2023,Central,Technology,Phones,John,5,4,972.55,-89.11
ORD10240,28-07-2023,Central,Office Supplies,Paper,Sara,5,18,4530.64,643.21
ORD10241,22-09-2022,Central,Furniture,Storage,David,1,16,834.6,-13.58
ORD10242,15-10-2022,East,Technology,Phones,Priya,5,15,3161.55,542.96
ORD10243,17-02-2022,West,Furniture,Chairs,Priya,5,1,$2917.53,1005.34
ORD10244,28-08-2023,South,Office Supplies,Paper,David,2,10,1375.66,447.47
ORD10245,18-02-2024, west ,Furniture,Chairs,Sara,3,9,564.8,52.14
ORD10246,16-05-2022,East,Office Supplies,Art,Ankit,1,2,$3668.46,235.5
ORD10247,18-09-2023,Central,Technology,Accessories,Ankit,1,13,4970.95,956.01
ORD10248,23-10-2022,East,Furniture,Tables,Ravi,5,14,3256.74,-265.12
ORD10249,11-12-2022,Central,Technology,Copiers,Ankit,1,8,2930.51,787.67
ORD10250,28-04-2022,EAST,Office Supplies,Binders,David,5,3,1233.09,301.46
ORD10251,10-10-2023,Central,Technology,Copiers,David,4,11,3933.06,443.68
ORD10252,30-10-2022,EAST,Technology,Copiers,Ankit,4,3,3143.61,1082.24
ORD10253,29-06-2023, west ,Furniture,Chairs,Sneha,4,5,3797.42,1055.73
ORD10254,23-11-2022,West,Office Supplies,Art,Sara,4,1,3460.34,1011.88
ORD10255,11-02-2023,East,Technology,Accessories,Neha,3,16,641.64,58.92
ORD10256,11-02-2023,EAST,Office Supplies,Paper,Neha,3,20,647.91,223.65
ORD10257,25-03-2023,West,Technology,Phones,Sara,3,1,1846.28,316.12
ORD10258,27-03-2022,West,Furniture,Tables,kiran,5,20,909.29,-50.77
ORD10259,24-03-2022,,Office Supplies,Binders,Ankit,4,17,4883.2,1652.8
ORD10260,12-05-2024, west ,Furniture,Storage,john,2,11,568.22,37.1
ORD10261,29-07-2023,West,Furniture,Tables,Ravi,2,5,3324.38,
ORD10262,03-03-2024,Central,Office Supplies,Binders,Sneha,1,12,1075.45,318.47
ORD10263,19-10-2023,West,Office Supplies,Binders,Priya,2,5,2078.37,119.91
ORD10264,29-12-2022,South,Office Supplies,Binders,John,4,17,3235.86,-162.24
ORD10265,14-05-2022,East,Furniture,Storage,Ankit,1,4,164.66,34.18
ORD10266,17-03-2022,East,Technology,Copiers,Kiran,2,15,3442.68,290.53
ORD10267,17-07-2023, west ,Furniture,Storage,Ravi,3,9,770.01,-43.96
ORD10268,27-09-2023,EAST,Office Supplies,Art,Kiran,1,9,1160.81,364.99
ORD10269,17-11-2023,East,Office Supplies,Art,Sara,5,3,4139.5,221.7
ORD10270,28-11-2023, west ,Office Supplies,Paper,John,2,11,3414.07,-249.24
ORD10271,05-11-2023,East,Furniture,Tables,Ravi,4,20,1590.22,-5.19
ORD10272,23-09-2023, west ,Furniture,Tables,Neha,5,16,988.98,228.13
ORD10273,14-12-2023,EAST,Office Supplies,Paper,David,2,11,4987.06,518.8
ORD10274,22-03-2023,East,Furniture,Tables,John,5,13,1400.91,-85.27
ORD10275,18-12-2022,East,Technology,Accessories,Ankit,1,3,2793.34,725.04
ORD10276,17-04-2023,West,Technology,Accessories,Amit,1,19,4893.31,1644.69
ORD10277,24-08-2023,Central,Furniture,Tables,Ravi,2,4,176.64,29.86
ORD10278,11-04-2024,Central,Furniture,Chairs,Sneha,4,6,4375.82,932.27
ORD10279,08-07-2023,EAST,Furniture,Chairs,Ankit,4,1,3837.33,763.76
ORD10280,28-11-2022,West,Technology,Phones,John,2,7,1794.16,334.94
ORD10281,26-12-2023,East,Furniture,Storage,Kiran,1,20,3877.43,-153.6
ORD10282,25-10-2022,,Technology,Accessories,Kiran,4,8,3367.3,828.87
ORD10283,03-01-2022,Central,Furniture,Chairs,Ravi,1,1,2906.57,364.75
ORD10284,28-02-2022,EAST,Technology,Accessories,David,1,7,$2840.01,118.67
ORD10285,28-01-2022,EAST,Furniture,Chairs,David,5,7,483.83,12.87
ORD10286,26-12-2023,Central,Office Supplies,Binders,Ravi,3,7,1102.52,345.41
ORD10287,02-06-2022, west ,Office Supplies,Binders,David,3,20,$3347.68,-105.79
ORD10288,20-12-2023,Central,Technology,Accessories,John,1,20,3225.43,326.55
ORD10289,22-06-2022,South,Office Supplies,Binders,Sara,4,9,3589.88,-23.29
ORD10290,28-03-2022,South,Technology,Accessories,David,4,2,2673.52,797.47
ORD10291,24-04-2022, west ,Furniture,Chairs,Sneha,2,2,250.26,45.94
ORD10292,07-08-2022,South,Furniture,Tables,sneha,3,15,279.85,87.47
ORD10293,24-06-2023,South,Technology,Copiers,Amit,1,2,4165.31,1042.97
ORD10294,07-09-2022, west ,Furniture,Chairs,Ravi,4,13,2425.68,835.47
ORD10295,20-08-2023, west ,Technology,Accessories,Priya,3,16,4977.71,-293.37
ORD10296,08-03-2023,South,Office Supplies,Binders,Kiran,4,11,4708.36,357.78
ORD10297,24-07-2022,West,Technology,Accessories,Ravi,1,13,1553.93,535.52
ORD10298,31-10-2022,West,Technology,Accessories,Ravi,5,16,2604.74,484.29
ORD10299,15-04-2022,EAST,Furniture,Chairs,Sneha,2,18,1142.5,70.93
ORD10300,20-04-2023,East,Office Supplies,Paper,Amit,2,11,1613.41,367.87
ORD10301,15-02-2022,South,Furniture,Chairs,Sara,4,1,$3956.08,1048.52
ORD10302,20-11-2022,East,Furniture,Storage,Amit,5,17,1408.52,484.25
ORD10303,19-11-2022,EAST,Office Supplies,Paper,Ankit,2,18,2270.46,161.93
ORD10304,13-01-2023, west ,Furniture,Tables,Priya,5,12,3686.27,1149.38
ORD10305,02-11-2023,EAST,Office Supplies,Binders,Priya,2,10,288.48,53.09
ORD10306,24-03-2022, west ,Technology,Accessories,Sneha,2,16,1769.37,-20.99
ORD10307,31-07-2022,East,Furniture,Storage,Ravi,3,9,$2879.6,207.98
ORD10308,16-12-2022,Central,Office Supplies,Binders,John,1,15,3307.3,722.45
ORD10309,21-12-2023,West,Office Supplies,Paper,amit,2,20,1048.48,286.73
ORD10310,05-11-2022,East,Technology,Accessories,Sara,5,15,2023.31,174.1
ORD10311,04-05-2022,EAST,Furniture,Chairs,Ankit,5,2,4944.98,110.56
ORD10312,26-12-2022,EAST,Technology,Copiers,Sneha,3,12,4353.47,-380.46
ORD10313,16-07-2022,South,Office Supplies,Paper,Kiran,5,13,2460.47,-200.83
ORD10314,09-07-2022,EAST,Technology,Copiers,ankit,2,19,3067.58,-95.68
ORD10315,13-04-2023, west ,Furniture,Storage,Ravi,5,16,2629.6,477.87
ORD10316,23-04-2024,EAST,Furniture,Chairs,David,2,14,399.59,94.51
ORD10317,30-03-2023,West,Office Supplies,Art,Amit,4,3,2322.96,-181.94
ORD10318,12-09-2022,Central,Furniture,Chairs,Priya,1,12,471.59,68.4
ORD10319,22-08-2023,EAST,Office Supplies,Binders,Ankit,2,7,4077.77,591.03
ORD10320,02-04-2022,Central,Technology,Phones,David,3,14,4355.45,-425.16
ORD10321,20-05-2023,EAST,Office Supplies,Binders,Sara,2,15,2448.43,479.37
ORD10322,19-06-2023,,Office Supplies,Binders,Ankit,4,1,$2251.03,741.85
ORD10323,08-01-2023,East,Technology,Phones,Priya,4,7,2874.15,317.98
ORD10324,23-03-2023, west ,Furniture,Chairs,Ravi,1,16,4584.23,643.91
ORD10325,13-05-2022,EAST,Office Supplies,Paper,David,1,15,1288.9,379.86
ORD10326,13-01-2023,Central,Technology,Copiers,David,3,14,1120.04,239.72
